tempo_sk,data,ano,mes,dia,trimestre,ano_mes
69,2017-09-15,2017,9,15,3,2017-09
70,2018-07-28,2018,7,28,3,2018-07
71,2018-08-26,2018,8,26,3,2018-08
72,2017-07-30,2017,7,30,3,2017-07
73,2017-12-22,2017,12,22,4,2017-12
74,2017-04-06,2017,4,6,2,2017-04
75,2017-05-09,2017,5,9,2,2017-05
76,2017-10-16,2017,10,16,4,2017-10
77,2017-12-08,2017,12,8,4,2017-12
78,2017-08-26,2017,8,26,3,2017-08
79,2018-02-27,2018,2,27,1,2018-02
80,2018-05-11,2018,5,11,2,2018-05
81,2018-01-22,2018,1,22,1,2018-01
82,2018-05-01,2018,5,1,2,2018-05
83,2017-09-19,2017,9,19,3,2017-09
84,2018-04-11,2018,4,11,2,2018-04
85,2017-12-20,2017,12,20,4,2017-12
86,2018-08-03,2018,8,3,3,2018-08
87,2018-05-14,2018,5,14,2,2018-05
88,2017-11-22,2017,11,22,4,2017-11
89,2017-03-30,2017,3,30,1,2017-03
90,2018-06-05,2018,6,5,2,2018-06
91,2017-05-17,2017,5,17,2,2017-05
92,2018-07-30,2018,7,30,3,2018-07
93,2018-02-06,2018,2,6,1,2018-02
94,2017-01-28,2017,1,28,1,2017-01
95,2018-01-27,2018,1,27,1,2018-01
96,2017-07-01,2017,7,1,3,2017-07
97,2017-09-27,2017,9,27,3,2017-09
98,2017-11-28,2017,11,28,4,2017-11
99,2018-08-22,2018,8,22,3,2018-08
100,2018-07-06,2018,7,6,3,2018-07
101,2018-05-09,2018,5,9,2,2018-05
102,2017-11-26,2017,11,26,4,2017-11
103,2017-09-29,2017,9,29,3,2017-09
104,2017-06-27,2017,6,27,2,2017-06
105,2018-01-23,2018,1,23,1,2018-01
106,2018-08-20,2018,8,20,3,2018-08
107,2018-01-30,2018,1,30,1,2018-01
108,2018-03-31,2018,3,31,1,2018-03
109,2018-03-07,2018,3,7,1,2018-03
110,2018-05-08,2018,5,8,2,2018-05
111,2018-04-25,2018,4,25,2,2018-04
112,2017-07-16,2017,7,16,3,2017-07
113,2017-10-19,2017,10,19,4,2017-10
114,2018-07-22,2018,7,22,3,2018-07
115,2017-12-02,2017,12,2,4,2017-12
116,2018-01-09,2018,1,9,1,2018-01
117,2018-07-18,2018,7,18,3,2018-07
118,2017-03-28,2017,3,28,1,2017-03
119,2018-06-08,2018,6,8,2,2018-06
120,2017-07-10,2017,7,10,3,2017-07
121,2018-05-16,2018,5,16,2,2018-05
122,2018-07-05,2018,7,5,3,2018-07
123,2017-09-20,2017,9,20,3,2017-09
124,2018-01-10,2018,1,10,1,2018-01
125,2017-04-26,2017,4,26,2,2017-04
126,2017-11-27,2017,11,27,4,2017-11
127,2018-05-25,2018,5,25,2,2018-05
128,2017-11-17,2017,11,17,4,2017-11
129,2018-07-23,2018,7,23,3,2018-07
130,2018-02-14,2018,2,14,1,2018-02
131,2017-04-30,2017,4,30,2,2017-04
132,2017-05-15,2017,5,15,2,2017-05
133,2017-07-22,2017,7,22,3,2017-07
134,2018-06-24,2018,6,24,2,2018-06
135,2018-07-02,2018,7,2,3,2018-07
136,2017-03-06,2017,3,6,1,2017-03
137,2017-10-04,2017,10,4,4,2017-10
138,2017-12-21,2017,12,21,4,2017-12
139,2018-02-02,2018,2,2,1,2018-02
140,2018-04-26,2018,4,26,2,2018-04
141,2018-05-30,2018,5,30,2,2018-05
142,2018-03-29,2018,3,29,1,2018-03
143,2018-06-25,2018,6,25,2,2018-06
144,2017-09-11,2017,9,11,3,2017-09
145,2018-04-15,2018,4,15,2,2018-04
146,2018-01-13,2018,1,13,1,2018-01
147,2018-04-04,2018,4,4,2,2018-04
148,2017-09-26,2017,9,26,3,2017-09
149,2018-02-28,2018,2,28,1,2018-02
150,2017-04-22,2017,4,22,2,2017-04
151,2018-01-18,2018,1,18,1,2018-01
152,2017-03-14,2017,3,14,1,2017-03
153,2017-12-04,2017,12,4,4,2017-12
154,2017-06-16,2017,6,16,2,2017-06
155,2017-07-05,2017,7,5,3,2017-07
156,2018-07-27,2018,7,27,3,2018-07
157,2017-07-08,2017,7,8,3,2017-07
158,2017-06-25,2017,6,25,2,2017-06
159,2018-05-15,2018,5,15,2,2018-05
160,2018-07-13,2018,7,13,3,2018-07
161,2017-08-01,2017,8,1,3,2017-08
162,2018-07-21,2018,7,21,3,2018-07
163,2017-03-09,2017,3,9,1,2017-03
164,2017-12-09,2017,12,9,4,2017-12
165,2018-08-01,2018,8,1,3,2018-08
166,2018-04-09,2018,4,9,2,2018-04
167,2017-04-27,2017,4,27,2,2017-04
168,2017-12-06,2017,12,6,4,2017-12
169,2017-06-05,2017,6,5,2,2017-06
170,2017-09-12,2017,9,12,3,2017-09
171,2018-06-03,2018,6,3,2,2018-06
172,2018-05-23,2018,5,23,2,2018-05
173,2018-08-10,2018,8,10,3,2018-08
174,2018-04-18,2018,4,18,2,2018-04
175,2018-02-05,2018,2,5,1,2018-02
176,2017-11-16,2017,11,16,4,2017-11
177,2018-01-31,2018,1,31,1,2018-01
178,2018-01-11,2018,1,11,1,2018-01
179,2017-06-04,2017,6,4,2,2017-06
180,2017-07-17,2017,7,17,3,2017-07
181,2018-04-17,2018,4,17,2,2018-04
182,2017-12-11,2017,12,11,4,2017-12
183,2018-05-04,2018,5,4,2,2018-05
184,2017-12-17,2017,12,17,4,2017-12
185,2018-03-18,2018,3,18,1,2018-03
186,2017-01-05,2017,1,5,1,2017-01
187,2017-12-24,2017,12,24,4,2017-12
188,2017-11-29,2017,11,29,4,2017-11
189,2018-04-03,2018,4,3,2,2018-04
190,2018-01-25,2018,1,25,1,2018-01
191,2018-06-16,2018,6,16,2,2018-06
192,2017-07-02,2017,7,2,3,2017-07
193,2018-01-16,2018,1,16,1,2018-01
194,2018-02-22,2018,2,22,1,2018-02
195,2018-03-30,2018,3,30,1,2018-03
196,2017-02-12,2017,2,12,1,2017-02
197,2018-06-06,2018,6,6,2,2018-06
198,2017-02-08,2017,2,8,1,2017-02
199,2018-06-30,2018,6,30,2,2018-06
200,2017-10-05,2017,10,5,4,2017-10
201,2018-04-10,2018,4,10,2,2018-04
202,2018-02-08,2018,2,8,1,2018-02
203,2018-07-12,2018,7,12,3,2018-07
204,2018-02-11,2018,2,11,1,2018-02
205,2018-03-17,2018,3,17,1,2018-03
206,2018-05-07,2018,5,7,2,2018-05
207,2018-01-24,2018,1,24,1,2018-01
208,2018-06-09,2018,6,9,2,2018-06
209,2017-11-11,2017,11,11,4,2017-11
210,2018-06-28,2018,6,28,2,2018-06
211,2017-11-13,2017,11,13,4,2017-11
212,2018-01-12,2018,1,12,1,2018-01
213,2017-07-24,2017,7,24,3,2017-07
214,2017-06-29,2017,6,29,2,2017-06
215,2018-01-19,2018,1,19,1,2018-01
216,2018-03-27,2018,3,27,1,2018-03
217,2017-01-21,2017,1,21,1,2017-01
218,2017-12-07,2017,12,7,4,2017-12
219,2018-06-12,2018,6,12,2,2018-06
220,2018-07-03,2018,7,3,3,2018-07
221,2017-05-23,2017,5,23,2,2017-05
222,2018-01-14,2018,1,14,1,2018-01
223,2017-08-23,2017,8,23,3,2017-08
224,2017-09-10,2017,9,10,3,2017-09
225,2018-08-21,2018,8,21,3,2018-08
226,2018-05-27,2018,5,27,2,2018-05
227,2017-05-20,2017,5,20,2,2017-05
228,2017-07-28,2017,7,28,3,2017-07
229,2017-12-05,2017,12,5,4,2017-12
230,2018-02-09,2018,2,9,1,2018-02
231,2018-08-02,2018,8,2,3,2018-08
232,2018-01-05,2018,1,5,1,2018-01
233,2017-12-01,2017,12,1,4,2017-12
234,2017-05-26,2017,5,26,2,2017-05
235,2018-04-01,2018,4,1,2,2018-04
236,2017-04-19,2017,4,19,2,2017-04
237,2017-08-17,2017,8,17,3,2017-08
238,2018-08-16,2018,8,16,3,2018-08
239,2018-07-01,2018,7,1,3,2018-07
240,2018-08-24,2018,8,24,3,2018-08
241,2018-08-11,2018,8,11,3,2018-08
242,2018-07-11,2018,7,11,3,2018-07
243,2018-07-31,2018,7,31,3,2018-07
244,2017-10-11,2017,10,11,4,2017-10
245,2017-11-25,2017,11,25,4,2017-11
246,2017-05-08,2017,5,8,2,2017-05
247,2018-08-14,2018,8,14,3,2018-08
248,2017-12-19,2017,12,19,4,2017-12
249,2017-10-25,2017,10,25,4,2017-10
250,2017-10-24,2017,10,24,4,2017-10
251,2017-11-09,2017,11,9,4,2017-11
252,2017-02-23,2017,2,23,1,2017-02
253,2017-06-17,2017,6,17,2,2017-06
254,2017-05-29,2017,5,29,2,2017-05
255,2018-05-24,2018,5,24,2,2018-05
256,2018-01-29,2018,1,29,1,2018-01
257,2016-10-05,2016,10,5,4,2016-10
258,2017-03-22,2017,3,22,1,2017-03
259,2017-11-06,2017,11,6,4,2017-11
260,2017-12-16,2017,12,16,4,2017-12
261,2018-06-23,2018,6,23,2,2018-06
262,2018-08-06,2018,8,6,3,2018-08
263,2017-06-02,2017,6,2,2,2017-06
264,2018-06-27,2018,6,27,2,2018-06
265,2017-04-14,2017,4,14,2,2017-04
266,2017-09-05,2017,9,5,3,2017-09
267,2017-11-19,2017,11,19,4,2017-11
268,2017-05-10,2017,5,10,2,2017-05
269,2018-03-19,2018,3,19,1,2018-03
270,2018-03-04,2018,3,4,1,2018-03
271,2018-08-12,2018,8,12,3,2018-08
272,2017-10-18,2017,10,18,4,2017-10
273,2017-08-28,2017,8,28,3,2017-08
274,2017-05-11,2017,5,11,2,2017-05
275,2017-12-27,2017,12,27,4,2017-12
276,2017-06-08,2017,6,8,2,2017-06
277,2017-10-17,2017,10,17,4,2017-10
278,2017-09-08,2017,9,8,3,2017-09
279,2018-03-08,2018,3,8,1,2018-03
280,2017-10-06,2017,10,6,4,2017-10
281,2018-05-19,2018,5,19,2,2018-05
282,2017-08-05,2017,8,5,3,2017-08
283,2017-10-31,2017,10,31,4,2017-10
284,2018-06-19,2018,6,19,2,2018-06
285,2018-03-16,2018,3,16,1,2018-03
286,2017-10-12,2017,10,12,4,2017-10
287,2017-04-29,2017,4,29,2,2017-04
288,2017-10-09,2017,10,9,4,2017-10
289,2018-01-26,2018,1,26,1,2018-01
290,2017-01-27,2017,1,27,1,2017-01
291,2017-04-03,2017,4,3,2,2017-04
292,2017-09-14,2017,9,14,3,2017-09
293,2017-02-17,2017,2,17,1,2017-02
294,2017-01-25,2017,1,25,1,2017-01
295,2018-06-15,2018,6,15,2,2018-06
296,2017-01-14,2017,1,14,1,2017-01
297,2018-05-20,2018,5,20,2,2018-05
298,2017-05-21,2017,5,21,2,2017-05
299,2018-03-14,2018,3,14,1,2018-03
300,2018-01-17,2018,1,17,1,2018-01
301,2018-07-20,2018,7,20,3,2018-07
302,2017-12-14,2017,12,14,4,2017-12
303,2018-04-02,2018,4,2,2,2018-04
304,2018-07-04,2018,7,4,3,2018-07
305,2017-04-13,2017,4,13,2,2017-04
306,2018-04-30,2018,4,30,2,2018-04
307,2017-05-03,2017,5,3,2,2017-05
308,2017-11-20,2017,11,20,4,2017-11
309,2017-12-23,2017,12,23,4,2017-12
310,2017-12-03,2017,12,3,4,2017-12
311,2017-11-02,2017,11,2,4,2017-11
312,2017-06-23,2017,6,23,2,2017-06
313,2018-05-10,2018,5,10,2,2018-05
314,2017-02-13,2017,2,13,1,2017-02
315,2017-03-19,2017,3,19,1,2017-03
316,2017-11-03,2017,11,3,4,2017-11
317,2018-05-06,2018,5,6,2,2018-05
318,2018-05-03,2018,5,3,2,2018-05
319,2018-01-01,2018,1,1,1,2018-01
320,2017-09-03,2017,9,3,3,2017-09
321,2017-02-07,2017,2,7,1,2017-02
322,2017-03-23,2017,3,23,1,2017-03
323,2017-02-11,2017,2,11,1,2017-02
324,2018-08-27,2018,8,27,3,2018-08
325,2017-02-06,2017,2,6,1,2017-02
326,2018-05-18,2018,5,18,2,2018-05
327,2018-02-24,2018,2,24,1,2018-02
328,2018-03-23,2018,3,23,1,2018-03
329,2018-01-04,2018,1,4,1,2018-01
330,2017-04-25,2017,4,25,2,2017-04
331,2017-08-16,2017,8,16,3,2017-08
332,2018-05-21,2018,5,21,2,2018-05
333,2018-05-12,2018,5,12,2,2018-05
334,2018-01-03,2018,1,3,1,2018-01
335,2017-07-12,2017,7,12,3,2017-07
336,2018-06-14,2018,6,14,2,2018-06
337,2018-01-15,2018,1,15,1,2018-01
338,2017-03-04,2017,3,4,1,2017-03
339,2017-07-04,2017,7,4,3,2017-07
340,2018-04-24,2018,4,24,2,2018-04
341,2018-05-31,2018,5,31,2,2018-05
342,2017-12-10,2017,12,10,4,2017-12
343,2017-07-27,2017,7,27,3,2017-07
344,2018-04-19,2018,4,19,2,2018-04
345,2018-08-19,2018,8,19,3,2018-08
346,2018-05-26,2018,5,26,2,2018-05
347,2017-09-21,2017,9,21,3,2017-09
348,2018-05-13,2018,5,13,2,2018-05
349,2018-02-16,2018,2,16,1,2018-02
350,2017-03-10,2017,3,10,1,2017-03
351,2017-10-28,2017,10,28,4,2017-10
352,2017-07-03,2017,7,3,3,2017-07
353,2018-01-06,2018,1,6,1,2018-01
354,2018-03-03,2018,3,3,1,2018-03
355,2017-10-22,2017,10,22,4,2017-10
356,2018-03-10,2018,3,10,1,2018-03
357,2018-01-21,2018,1,21,1,2018-01
358,2018-08-07,2018,8,7,3,2018-08
359,2017-04-15,2017,4,15,2,2017-04
360,2017-02-25,2017,2,25,1,2017-02
361,2017-09-16,2017,9,16,3,2017-09
362,2017-03-24,2017,3,24,1,2017-03
363,2017-05-31,2017,5,31,2,2017-05
364,2017-03-08,2017,3,8,1,2017-03
365,2017-05-02,2017,5,2,2,2017-05
366,2017-06-19,2017,6,19,2,2017-06
367,2017-11-23,2017,11,23,4,2017-11
368,2018-05-05,2018,5,5,2,2018-05
369,2018-03-06,2018,3,6,1,2018-03
370,2017-06-20,2017,6,20,2,2017-06
371,2017-08-02,2017,8,2,3,2017-08
372,2018-04-28,2018,4,28,2,2018-04
373,2018-04-12,2018,4,12,2,2018-04
374,2018-01-28,2018,1,28,1,2018-01
375,2018-02-23,2018,2,23,1,2018-02
376,2017-09-17,2017,9,17,3,2017-09
377,2018-02-12,2018,2,12,1,2018-02
378,2017-05-06,2017,5,6,2,2017-05
379,2017-02-10,2017,2,10,1,2017-02
380,2018-06-22,2018,6,22,2,2018-06
381,2018-06-21,2018,6,21,2,2018-06
382,2017-01-22,2017,1,22,1,2017-01
383,2018-04-08,2018,4,8,2,2018-04
384,2018-06-20,2018,6,20,2,2018-06
385,2017-05-07,2017,5,7,2,2017-05
386,2018-07-17,2018,7,17,3,2018-07
387,2017-02-26,2017,2,26,1,2017-02
388,2018-04-06,2018,4,6,2,2018-04
389,2018-03-21,2018,3,21,1,2018-03
390,2017-05-25,2017,5,25,2,2017-05
391,2017-08-20,2017,8,20,3,2017-08
392,2017-03-29,2017,3,29,1,2017-03
393,2017-12-28,2017,12,28,4,2017-12
394,2018-03-24,2018,3,24,1,2018-03
395,2017-03-07,2017,3,7,1,2017-03
396,2017-06-10,2017,6,10,2,2017-06
397,2017-11-08,2017,11,8,4,2017-11
398,2017-08-03,2017,8,3,3,2017-08
399,2017-03-25,2017,3,25,1,2017-03
400,2018-07-16,2018,7,16,3,2018-07
401,2017-03-27,2017,3,27,1,2017-03
402,2017-10-27,2017,10,27,4,2017-10
403,2017-12-25,2017,12,25,4,2017-12
404,2017-03-05,2017,3,5,1,2017-03
405,2018-05-28,2018,5,28,2,2018-05
406,2017-08-14,2017,8,14,3,2017-08
407,2017-03-01,2017,3,1,1,2017-03
408,2017-07-19,2017,7,19,3,2017-07
409,2017-07-26,2017,7,26,3,2017-07
410,2018-04-05,2018,4,5,2,2018-04
411,2017-07-14,2017,7,14,3,2017-07
412,2017-09-06,2017,9,6,3,2017-09
413,2017-10-01,2017,10,1,4,2017-10
414,2017-05-05,2017,5,5,2,2017-05
415,2018-04-14,2018,4,14,2,2018-04
416,2018-08-25,2018,8,25,3,2018-08
417,2017-06-06,2017,6,6,2,2017-06
418,2017-07-23,2017,7,23,3,2017-07
419,2017-07-11,2017,7,11,3,2017-07
420,2018-08-15,2018,8,15,3,2018-08
421,2017-06-24,2017,6,24,2,2017-06
422,2018-02-04,2018,2,4,1,2018-02
423,2018-04-23,2018,4,23,2,2018-04
424,2017-04-24,2017,4,24,2,2017-04
425,2017-03-15,2017,3,15,1,2017-03
426,2017-11-14,2017,11,14,4,2017-11
427,2017-05-12,2017,5,12,2,2017-05
428,2018-02-18,2018,2,18,1,2018-02
429,2018-02-07,2018,2,7,1,2018-02
430,2018-06-10,2018,6,10,2,2018-06
431,2017-04-18,2017,4,18,2,2017-04
432,2017-04-12,2017,4,12,2,2017-04
433,2017-10-29,2017,10,29,4,2017-10
434,2017-08-11,2017,8,11,3,2017-08
435,2017-04-04,2017,4,4,2,2017-04
436,2017-03-31,2017,3,31,1,2017-03
437,2018-04-20,2018,4,20,2,2018-04
438,2017-08-24,2017,8,24,3,2017-08
439,2017-11-07,2017,11,7,4,2017-11
440,2017-10-13,2017,10,13,4,2017-10
441,2017-06-15,2017,6,15,2,2017-06
442,2017-08-15,2017,8,15,3,2017-08
443,2018-03-02,2018,3,2,1,2018-03
444,2017-08-22,2017,8,22,3,2017-08
445,2017-08-06,2017,8,6,3,2017-08
446,2018-08-17,2018,8,17,3,2018-08
447,2017-01-26,2017,1,26,1,2017-01
448,2018-03-11,2018,3,11,1,2018-03
449,2017-02-02,2017,2,2,1,2017-02
450,2018-03-25,2018,3,25,1,2018-03
451,2017-07-20,2017,7,20,3,2017-07
452,2017-06-18,2017,6,18,2,2017-06
453,2017-02-22,2017,2,22,1,2017-02
454,2017-03-12,2017,3,12,1,2017-03
455,2018-04-29,2018,4,29,2,2018-04
456,2018-02-26,2018,2,26,1,2018-02
457,2017-08-21,2017,8,21,3,2017-08
458,2017-09-25,2017,9,25,3,2017-09
459,2017-09-04,2017,9,4,3,2017-09
460,2017-05-22,2017,5,22,2,2017-05
461,2017-10-08,2017,10,8,4,2017-10
462,2017-07-15,2017,7,15,3,2017-07
463,2017-10-15,2017,10,15,4,2017-10
464,2018-03-20,2018,3,20,1,2018-03
465,2017-10-07,2017,10,7,4,2017-10
466,2017-09-09,2017,9,9,3,2017-09
467,2017-05-24,2017,5,24,2,2017-05
468,2017-03-21,2017,3,21,1,2017-03
469,2017-01-31,2017,1,31,1,2017-01
470,2018-08-28,2018,8,28,3,2018-08
471,2017-11-10,2017,11,10,4,2017-11
472,2017-05-27,2017,5,27,2,2017-05
473,2018-08-13,2018,8,13,3,2018-08
474,2017-10-23,2017,10,23,4,2017-10
475,2017-10-20,2017,10,20,4,2017-10
476,2018-08-23,2018,8,23,3,2018-08
477,2017-08-30,2017,8,30,3,2017-08
478,2017-08-27,2017,8,27,3,2017-08
479,2017-04-08,2017,4,8,2,2017-04
480,2017-02-18,2017,2,18,1,2017-02
481,2018-03-28,2018,3,28,1,2018-03
482,2017-02-24,2017,2,24,1,2017-02
483,2017-06-11,2017,6,11,2,2017-06
484,2017-07-06,2017,7,6,3,2017-07
485,2018-06-02,2018,6,2,2,2018-06
486,2017-09-01,2017,9,1,3,2017-09
487,2018-07-19,2018,7,19,3,2018-07
488,2017-03-03,2017,3,3,1,2017-03
489,2018-03-05,2018,3,5,1,2018-03
490,2018-04-27,2018,4,27,2,2018-04
491,2017-01-19,2017,1,19,1,2017-01
492,2017-07-21,2017,7,21,3,2017-07
493,2017-06-14,2017,6,14,2,2017-06
494,2017-05-01,2017,5,1,2,2017-05
495,2017-04-28,2017,4,28,2,2017-04
496,2017-09-22,2017,9,22,3,2017-09
497,2017-05-13,2017,5,13,2,2017-05
498,2017-04-09,2017,4,9,2,2017-04
499,2018-01-20,2018,1,20,1,2018-01
500,2018-07-14,2018,7,14,3,2018-07
501,2018-06-29,2018,6,29,2,2018-06
502,2017-06-07,2017,6,7,2,2017-06
503,2017-08-08,2017,8,8,3,2017-08
504,2017-10-30,2017,10,30,4,2017-10
505,2017-08-13,2017,8,13,3,2017-08
506,2018-04-21,2018,4,21,2,2018-04
507,2017-04-11,2017,4,11,2,2017-04
508,2017-09-28,2017,9,28,3,2017-09
509,2017-09-23,2017,9,23,3,2017-09
510,2016-10-04,2016,10,4,4,2016-10
511,2017-02-28,2017,2,28,1,2017-02
512,2017-02-04,2017,2,4,1,2017-02
513,2017-12-18,2017,12,18,4,2017-12
514,2017-10-14,2017,10,14,4,2017-10
515,2017-04-10,2017,4,10,2,2017-04
516,2017-06-30,2017,6,30,2,2017-06
517,2016-10-07,2016,10,7,4,2016-10
518,2017-11-12,2017,11,12,4,2017-11
519,2017-07-18,2017,7,18,3,2017-07
520,2017-11-01,2017,11,1,4,2017-11
521,2017-04-07,2017,4,7,2,2017-04
522,2018-06-17,2018,6,17,2,2018-06
523,2017-08-18,2017,8,18,3,2017-08
524,2017-08-29,2017,8,29,3,2017-08
525,2017-06-12,2017,6,12,2,2017-06
526,2017-08-25,2017,8,25,3,2017-08
527,2018-04-07,2018,4,7,2,2018-04
528,2017-02-16,2017,2,16,1,2017-02
529,2017-03-11,2017,3,11,1,2017-03
530,2017-05-28,2017,5,28,2,2017-05
531,2017-06-01,2017,6,1,2,2017-06
532,2017-01-15,2017,1,15,1,2017-01
533,2017-07-25,2017,7,25,3,2017-07
534,2017-01-12,2017,1,12,1,2017-01
535,2017-03-26,2017,3,26,1,2017-03
536,2017-01-30,2017,1,30,1,2017-01
537,2018-05-29,2018,5,29,2,2018-05
538,2017-09-30,2017,9,30,3,2017-09
539,2017-01-29,2017,1,29,1,2017-01
540,2017-02-27,2017,2,27,1,2017-02
541,2017-12-29,2017,12,29,4,2017-12
542,2017-01-17,2017,1,17,1,2017-01
543,2017-06-22,2017,6,22,2,2017-06
544,2017-06-09,2017,6,9,2,2017-06
545,2017-09-24,2017,9,24,3,2017-09
546,2017-06-28,2017,6,28,2,2017-06
547,2017-02-03,2017,2,3,1,2017-02
548,2017-10-21,2017,10,21,4,2017-10
549,2017-08-19,2017,8,19,3,2017-08
550,2017-10-03,2017,10,3,4,2017-10
551,2018-08-18,2018,8,18,3,2018-08
552,2017-12-13,2017,12,13,4,2017-12
553,2017-08-12,2017,8,12,3,2017-08
554,2018-07-09,2018,7,9,3,2018-07
555,2017-09-07,2017,9,7,3,2017-09
556,2018-05-22,2018,5,22,2,2018-05
557,2018-03-22,2018,3,22,1,2018-03
558,2017-04-21,2017,4,21,2,2017-04
559,2017-09-02,2017,9,2,3,2017-09
560,2017-06-03,2017,6,3,2,2017-06
561,2017-03-16,2017,3,16,1,2017-03
562,2018-07-07,2018,7,7,3,2018-07
563,2017-04-17,2017,4,17,2,2017-04
564,2017-06-21,2017,6,21,2,2017-06
565,2018-07-10,2018,7,10,3,2018-07
566,2017-05-30,2017,5,30,2,2017-05
567,2017-03-20,2017,3,20,1,2017-03
568,2017-02-21,2017,2,21,1,2017-02
569,2017-01-24,2017,1,24,1,2017-01
570,2018-03-13,2018,3,13,1,2018-03
571,2017-08-07,2017,8,7,3,2017-08
572,2017-02-09,2017,2,9,1,2017-02
573,2017-03-02,2017,3,2,1,2017-03
574,2017-02-15,2017,2,15,1,2017-02
575,2017-11-05,2017,11,5,4,2017-11
576,2017-01-13,2017,1,13,1,2017-01
577,2017-02-05,2017,2,5,1,2017-02
578,2018-07-08,2018,7,8,3,2018-07
579,2017-03-18,2017,3,18,1,2017-03
580,2017-12-30,2017,12,30,4,2017-12
581,2017-02-01,2017,2,1,1,2017-02
582,2017-12-31,2017,12,31,4,2017-12
583,2017-05-04,2017,5,4,2,2017-05
584,2017-01-16,2017,1,16,1,2017-01
585,2017-07-07,2017,7,7,3,2017-07
586,2017-10-10,2017,10,10,4,2017-10
587,2017-04-02,2017,4,2,2,2017-04
588,2017-11-04,2017,11,4,4,2017-11
589,2017-03-17,2017,3,17,1,2017-03
590,2017-04-05,2017,4,5,2,2017-04
591,2016-10-10,2016,10,10,4,2016-10
592,2017-04-23,2017,4,23,2,2017-04
593,2016-10-06,2016,10,6,4,2016-10
594,2017-02-14,2017,2,14,1,2017-02
595,2018-08-29,2018,8,29,3,2018-08
596,2017-04-01,2017,4,1,2,2017-04
597,2016-10-08,2016,10,8,4,2016-10
598,2017-02-19,2017,2,19,1,2017-02
599,2017-01-18,2017,1,18,1,2017-01
600,2016-10-03,2016,10,3,4,2016-10
601,2017-06-26,2017,6,26,2,2017-06
602,2017-04-16,2017,4,16,2,2017-04
603,2016-10-09,2016,10,9,4,2016-10
604,2017-01-20,2017,1,20,1,2017-01
605,2017-01-11,2017,1,11,1,2017-01
606,2017-01-07,2017,1,7,1,2017-01
